Product_ID,Product_Name,Category,Sub_Category,Price,Customer_Age,Customer_Gender,Purchase_History,Review_Rating,Review_Sentiment
P0001,Sweater,Clothing,Pants,38.44,58,Male,16,2,Negative
P0002,Dining Table,Furniture,Chair,408.46,53,Female,4,5,Very Positive
P0003,Skincare Cream,Beauty,Hair Care,22.04,54,Male,7,2,Negative
P0004,Skincare Cream,Beauty,Makeup,145.24,27,Female,21,4,Neutral
P0005,Bluetooth Speaker,Electronics,Headphones,862.61,44,Female,27,5,Very Positive
P0006,Sweater,Clothing,Jackets,138.96,48,Male,17,4,Positive
P0007,Chair,Furniture,Bookshelf,1356.63,57,Male,1,4,Very Positive
P0008,Chair,Furniture,Sofa,1134.92,51,Male,9,4,Positive
P0009,Bicycle,Sports,Football,674.0,31,Female,23,4,Positive
P0010,Nail Polish,Beauty,Hair Care,62.71,60,Male,7,4,Neutral
P0011,Football,Sports,Tennis Racket,281.99,36,Male,30,5,Very Positive
P0012,T-Shirt,Clothing,Sweaters,182.12,18,Female,18,3,Neutral
P0013,Refrigerator,Home Appliances,Refrigerator,554.23,19,Female,43,4,Positive
P0014,Football,Sports,Tennis Racket,544.25,60,Male,17,5,Positive
P0015,Dishwasher,Home Appliances,Vacuum Cleaner,632.87,51,Male,0,5,Very Positive
P0016,Bluetooth Speaker,Electronics,Speakers,196.31,38,Female,23,3,Positive
P0017,Cabinet,Furniture,Sofa,917.48,56,Male,10,5,Positive
P0018,T-Shirt,Clothing,Shoes,172.35,57,Female,20,4,Neutral
P0019,Vacuum Cleaner,Home Appliances,Washing Machine,206.43,39,Male,24,5,Positive
P0020,Wireless Mouse,Electronics,Tablets,1190.96,32,Female,20,4,Very Positive
P0021,Tennis Racket,Sports,Basketball,119.47,27,Female,25,3,Neutral
P0022,Football,Sports,Tennis Racket,324.59,48,Male,24,4,Positive
P0023,Nail Polish,Beauty,Makeup,112.0,25,Male,10,5,Neutral
P0024,Football,Sports,Bicycle,49.89,54,Male,19,1,Negative
P0025,Lipstick,Beauty,Hair Care,129.68,29,Male,27,5,Neutral
P0026,Lipstick,Beauty,Fragrance,30.67,58,Female,3,3,Negative
P0027,T-Shirt,Clothing,Dresses,95.48,44,Male,14,3,Neutral
P0028,Vacuum Cleaner,Home Appliances,Air Conditioner,230.39,31,Male,16,5,Positive
